Instance 260: p_3=-62.41212, p_4=-64.97832
Instance 261: p_3=-62.41212, p_4=-64.97832
Instance 262: p_3=-62.41212, p_4=-64.97832
Instance 263: p_3=-62.41212, p_4=-64.97832
Instance 264: p_3=-62.41212, p_4=-64.97832
Instance 265: p_3=-62.41212, p_4=-64.97832
Instance 266: p_3=-62.41212, p_4=-64.97832
Instance 267: p_3=-62.41212, p_4=-64.97832
Instance 268: p_3=-62.41212, p_4=-64.97832
Instance 269: p_3=-62.41212, p_4=-64.97832
Instance 270: p_3=-62.41212, p_4=-64.97832
Instance 271: p_3=-62.41212, p_4=-64.97832
Instance 272: p_3=-62.41212, p_4=-64.97832
Instance 273: p_3=-62.41212, p_4=-64.97832
Instance 274: p_3=-62.41212, p_4=-64.97832
Instance 275: p_3=-62.41212, p_4=-64.97832
Instance 276: p_3=-62.41212, p_4=-64.97832
Instance 277: p_3=-62.41212, p_4=-64.97832
Instance 278: p_3=-62.41212, p_4=-64.97832
Instance 279: p_3=-62.41212, p_4=-64.97832
Instance 280: p_3=-62.41212, p_4=-64.97832
Instance 281: p_3=-62.41212, p_4=-64.97832
Instance 282: p_3=-62.41212, p_4=-64.97832
Instance 283: p_3=-62.41212, p_4=-64.97832
Instance 284: p_3=-62.41212, p_4=-64.97832
Instance 285: p_3=-62.41212, p_4=-64.97832
Instance 286: p_3=-62.41212, p_4=-64.97832
Instance 287: p_3=-62.41212, p_4=-64.97832
Instance 288: p_3=-62.41212, p_4=-64.97832
Instance 289: p_3=-62.41212, p_4=-64.97832
Instance 290: p_3=-62.41212, p_4=-64.97832
Instance 291: p_3=-62.41212, p_4=-64.97832
Instance 292: p_3=-62.41212, p_4=-64.97832
Instance 293: p_3=-62.41212, p_4=-64.97832
Instance 294: p_3=-62.41212, p_4=-64.97832
Instance 295: p_3=-62.41212, p_4=-64.97832
Instance 296: p_3=-62.41212, p_4=-64.97832
Instance 297: p_3=-62.41212, p_4=-64.97832
Instance 298: p_3=-62.41212, p_4=-64.97832
Instance 299: p_3=-62.41212, p_4=-64.97832
Instance 300: p_3=-62.41212, p_4=-64.97832
Instance 301: p_3=-62.41212, p_4=-64.97832
Instance 302: p_3=-62.41212, p_4=-64.97832
Instance 303: p_3=-62.41212, p_4=-64.97832
Instance 304: p_3=-62.41212, p_4=-64.97832
Instance 305: p_3=-62.41212, p_4=-64.97832
Instance 306: p_3=-62.41212, p_4=-64.97832
Instance 307: p_3=-62.41212, p_4=-64.97832
Instance 308: p_3=-62.41212, p_4=-64.97832
Instance 309: p_3=-62.41212, p_4=-64.97832
Instance 310: p_3=-62.41212, p_4=-64.97832
Instance 311: p_3=-62.41212, p_4=-64.97832
Instance 312: p_3=-62.41212, p_4=-64.97832
Instance 313: p_3=-62.41212, p_4=-64.97832
Instance 314: p_3=-62.41212, p_4=-64.97832
Instance 315: p_3=-62.41212, p_4=-64.97832
Instance 316: p_3=-62.41212, p_4=-64.97832
Instance 317: p_3=-62.41212, p_4=-64.97832
Instance 318: p_3=-62.41212, p_4=-64.97832
Instance 319: p_3=-62.41212, p_4=-64.97832
